"vals","group",".sample"
0.793750201533668,2,1
0.860681593584593,1,1
0.847269429673401,1,1
0.817606270852498,1,1
0.768062957914867,2,1
0.795343586590511,2,1
0.842491356278291,2,1
0.83328302174926,2,1
0.82600814795127,2,1
0.807198205812012,2,1
0.794464033151244,1,1
0.847228719176429,1,1
0.837378118098866,1,1
0.842462213031176,2,1
0.772597762278297,1,1
0.798201054155607,1,1
0.831395773137583,1,1
0.824401144455209,1,1
0.82068845860823,2,1
0.833366842343497,1,1
0.805407697299466,2,1
0.839241274298372,2,1
0.842832970711839,1,1
0.821223009560575,1,1
0.782747377490594,1,1
0.806345147113521,1,1
0.846683995921739,2,1
0.854707672935803,1,1
0.840724886840368,1,1
0.835146813606795,2,1
0.908565640494225,1,1
0.840040475698026,1,1
0.808352772062873,2,1
0.821616305597062,1,1
0.785224853627579,1,1
0.877275385418616,1,1
0.789833491481768,2,1
0.843894411089493,1,1
0.794627264178359,1,1
0.838014312330937,2,1
0.872455654564021,2,1
0.790727988630742,1,1
0.872492020561074,1,1
0.771393737286917,1,1
0.802536890534776,1,1
0.799916400846103,2,1
0.800280944404982,2,1
0.861083339245106,1,1
0.841109171662176,1,1
0.816129001094091,2,1
0.845026235528004,1,1
0.81890484771182,1,1
0.817196553964872,2,1
0.810450420693586,1,1
0.834943066454926,1,1
0.852012810421022,2,1
0.774949282849813,1,1
0.879669849239299,1,1
0.828708089165496,1,1
0.834784338458189,2,1
0.791625662391421,2,1
0.742812037516984,2,1
0.798865116750071,2,1
0.816500067699527,2,1
0.821815177005219,1,1
0.839716919542355,2,1
0.7935035363458,1,1
0.777934327862785,1,1
0.837316271477613,1,1
0.770272030818329,1,1
0.786314515154977,2,1
0.797924708716065,2,1
0.84036772807545,2,1
0.797902371236467,1,1
0.7896127583227,1,1
0.844519306642365,2,1
0.83432092498396,2,1
0.785711920011349,1,1
0.772658864915293,2,1
0.863687864424753,2,1
0.823335411737256,2,1
0.82180308446386,2,1
0.853389829831113,2,1
0.785977226419354,2,1
0.829986364127621,2,1
0.830366737822177,1,1
0.801463144279965,1,1
0.845039866785897,1,1
0.813737275212394,2,1
0.815146270855056,2,1
0.857360242972118,2,1
0.792626955428472,1,1
0.808829793970884,1,1
0.834467813201649,1,1
0.810969858537917,2,1
0.800144547789086,2,1
0.848064308912414,1,1
0.840009254120984,2,1
0.878705988714297,2,1
0.861097003343173,2,1
0.841515451731502,1,1
0.867242405556555,1,1
0.820370477990823,2,1
0.840527941278108,1,1
0.82479755904027,1,1
0.868850734727795,1,1
0.859572510289894,2,1
0.872640777650827,1,1
0.894110216001338,1,1
0.86824995505812,2,1
0.865760156506781,2,1
0.806065920206169,1,1
0.835463457694681,2,1
0.824614532506618,2,1
0.868894983299038,2,1
0.836595062855689,1,1
0.886410649698222,1,1
0.801044853881887,1,1
0.839286849988503,2,1
0.890324596577875,2,1
0.841753751651833,2,1
0.883515339431161,2,1
0.794197238921657,1,1
0.793231883768923,1,1
0.807345718404436,2,1
0.824935251297406,1,1
0.809507426027425,2,1
0.861910580402354,1,1
0.883569107832746,1,1
0.851731026417569,2,1
0.79246302044768,1,1
0.84582147460287,1,1
0.857697424562562,1,1
0.81567296318702,2,1
0.806662161899162,1,1
0.801269913109832,2,1
0.811559961275214,1,1
0.8379327990324,1,1
0.830719798903579,2,1
0.883402145997146,2,1
0.821446824145523,2,1
0.846838047021219,1,1
0.798093221993891,1,1
0.835285359898995,2,1
0.854695822558287,2,1
0.822645165114348,1,1
0.844017546963952,2,1
0.778707809364001,1,1
0.840491844741884,1,1
0.815077543665,1,1
0.878724619064818,2,1
0.851206793783953,2,1
0.831842827727243,1,1
0.855642951687501,1,1
0.826362969470155,2,1
0.781742966982276,2,1
0.890410997743015,2,1
0.850224944658157,1,1
0.847513526185533,1,1
0.83667502063809,2,1
0.787778419294981,1,1
0.885852285346018,2,1
0.806398748648062,2,1
0.847299024315229,2,1
0.851578529284185,2,1
0.833842873513761,1,1
0.807794085666215,2,1
0.843069209736392,1,1
0.810631944501732,2,1
0.847596346811178,2,1
0.806565152261635,2,1
0.814891291003559,1,1
0.877683842421035,2,1
0.830949677267191,2,1
0.883261947154611,1,1
0.821379056845011,2,1
0.876004676180537,2,1
0.844717286245963,1,1
0.852641437017544,1,1
0.824113341039239,1,1
0.809290736521803,1,1
0.8504870135008,2,1
0.847828966309835,1,1
0.813772636643653,2,1
0.882287162594777,2,1
0.865818079053183,2,1
0.819989587707052,2,1
0.891684529440522,1,1
0.830967741409201,2,1
0.83812322635773,1,1
0.899596678949359,2,1
0.831049735102235,2,1
0.793750201533668,2,2
0.860681593584593,2,2
0.847269429673401,2,2
0.817606270852498,2,2
0.768062957914867,2,2
0.795343586590511,2,2
0.842491356278291,1,2
0.83328302174926,2,2
0.82600814795127,1,2
0.807198205812012,1,2
